[09/Jul/2024:03:55:07 +0000] 200 - GET http localhost "/" [Client 172.20.0.1] [Length 1033] [Gzip -] "curl/7.68.0" "-"
[09/Jul/2024:04:21:17 +0000] 200 - GET http db.gabdevops.mooo.com "/" [Client 80.41.110.69] [Length 568] [Gzip 1.86] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[09/Jul/2024:04:24:34 +0000] 304 - GET http db.gabdevops.mooo.com "/" [Client 80.41.110.69] [Length 0] [Gzip -] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[09/Jul/2024:04:24:37 +0000] 304 - GET http db.gabdevops.mooo.com "/" [Client 80.41.110.69] [Length 0] [Gzip -] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[09/Jul/2024:04:26:12 +0000] 304 - GET http db.gabdevops.mooo.com "/" [Client 80.41.110.69] [Length 0] [Gzip -] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[09/Jul/2024:04:26:14 +0000] 304 - GET http db.gabdevops.mooo.com "/" [Client 80.41.110.69] [Length 0] [Gzip -] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[09/Jul/2024:04:26:24 +0000] 304 - GET http db.gabdevops.mooo.com "/" [Client 80.41.110.69] [Length 0] [Gzip -] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[09/Jul/2024:04:27:03 +0000] 304 - GET http db.gabdevops.mooo.com "/" [Client 80.41.110.69] [Length 0] [Gzip -] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[09/Jul/2024:04:27:05 +0000] 304 - GET http db.gabdevops.mooo.com "/" [Client 80.41.110.69] [Length 0] [Gzip -] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[09/Jul/2024:04:31:11 +0000] 304 - GET http db.gabdevops.mooo.com "/" [Client 80.41.110.69] [Length 0] [Gzip -] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[09/Jul/2024:04:31:13 +0000] 304 - GET http db.gabdevops.mooo.com "/" [Client 80.41.110.69] [Length 0] [Gzip -] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[09/Jul/2024:04:36:16 +0000] 400 - - http localhost-nginx-proxy-manager "-" [Client 192.155.90.220] [Length 154] [Gzip -] "-" "-"
[09/Jul/2024:04:37:28 +0000] 304 - GET http db.gabdevops.mooo.com "/" [Client 80.41.110.69] [Length 0] [Gzip -] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[09/Jul/2024:04:37:31 +0000] 304 - GET http db.gabdevops.mooo.com "/" [Client 80.41.110.69] [Length 0] [Gzip -] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[09/Jul/2024:04:41:54 +0000] 304 - GET http db.gabdevops.mooo.com "/" [Client 80.41.110.69] [Length 0] [Gzip -] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[09/Jul/2024:04:41:56 +0000] 304 - GET http db.gabdevops.mooo.com "/" [Client 80.41.110.69] [Length 0] [Gzip -] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[09/Jul/2024:04:42:50 +0000] 304 - GET http db.gabdevops.mooo.com "/" [Client 80.41.110.69] [Length 0] [Gzip -] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[09/Jul/2024:04:58:32 +0000] 200 - GET http 20.0.113.13 "/" [Client 141.98.83.197] [Length 568] [Gzip 1.86] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46" "-"
